Country,Horizon,Return (%),Asset Class,"{role: 'tooltip', p: {html: 'true'}}"
Czech Republic,1M,-3.227694623,Equity,<b>hi<b/>
Czech Republic,YTD,3.844945937,Equity,<b>hi<b/>
Czech Republic,12M,3.844945937,Equity,<b>hi<b/>
Denmark,1M,-3.168235778,Equity,<b>hi<b/>
Denmark,YTD,-9.591226181,Equity,<b>hi<b/>
Denmark,12M,-9.591226181,Equity,<b>hi<b/>
Egypt,1M,-0.723725614,Equity,<b>hi<b/>
Egypt,YTD,-8.373877629,Equity,<b>hi<b/>
Egypt,12M,-8.373877629,Equity,<b>hi<b/>
Estonia,1M,-3.425804064,Equity,<b>hi<b/>
Estonia,YTD,-8.733112055,Equity,<b>hi<b/>
Estonia,12M,-8.733112055,Equity,<b>hi<b/>
Finland,1M,-1.334561585,Equity,<b>hi<b/>
Finland,YTD,3.868656825,Equity,<b>hi<b/>
Finland,12M,3.868656825,Equity,<b>hi<b/>
France,1M,-4.824470976,Equity,<b>hi<b/>
France,YTD,-6.420978658,Equity,<b>hi<b/>
France,12M,-6.420978658,Equity,<b>hi<b/>
Germany,1M,-6.510993645,Equity,<b>hi<b/>
Germany,YTD,-16.76992335,Equity,<b>hi<b/>
Germany,12M,-16.76992335,Equity,<b>hi<b/>
Greece,1M,-2.879706368,Equity,<b>hi<b/>
Greece,YTD,-32.72680555,Equity,<b>hi<b/>
Greece,12M,-32.72680555,Equity,<b>hi<b/>
Hong Kong,1M,-0.024911284,Equity,<b>hi<b/>
Hong Kong,YTD,-2.109917975,Equity,<b>hi<b/>
Hong Kong,12M,-2.109917975,Equity,<b>hi<b/>
Hungary,1M,0.122895416,Equity,<b>hi<b/>
Hungary,YTD,-0.281517748,Equity,<b>hi<b/>
Hungary,12M,-0.281517748,Equity,<b>hi<b/>
India,1M,0.816326531,Equity,<b>hi<b/>
India,YTD,-1.548016314,Equity,<b>hi<b/>
India,12M,-1.548016314,Equity,<b>hi<b/>
Indonesia,1M,0.334821429,Equity,<b>hi<b/>
Indonesia,YTD,-3.020496224,Equity,<b>hi<b/>
Indonesia,12M,-3.020496224,Equity,<b>hi<b/>
Ireland,1M,-5.969422647,Equity,<b>hi<b/>
Ireland,YTD,-20.3665438,Equity,<b>hi<b/>
Ireland,12M,-20.3665438,Equity,<b>hi<b/>
Israel,1M,-13.19291595,Equity,<b>hi<b/>
Israel,YTD,-2.568765369,Equity,<b>hi<b/>
Israel,12M,-2.568765369,Equity,<b>hi<b/>
Italy,1M,-3.448069173,Equity,<b>hi<b/>
Italy,YTD,-11.81255272,Equity,<b>hi<b/>
Italy,12M,-11.81255272,Equity,<b>hi<b/>
Japan,1M,-6.206026815,Equity,<b>hi<b/>
Japan,YTD,-7.142857143,Equity,<b>hi<b/>
Japan,12M,-7.142857143,Equity,<b>hi<b/>
Jordan,1M,4.882623745,Equity,<b>hi<b/>
Jordan,YTD,1.491197623,Equity,<b>hi<b/>
Jordan,12M,1.491197623,Equity,<b>hi<b/>
Kazakhstan,1M,1.517684003,Equity,<b>hi<b/>
Kazakhstan,YTD,5.825805339,Equity,<b>hi<b/>
Kazakhstan,12M,5.825805339,Equity,<b>hi<b/>
Kenya,1M,-6.109585863,Equity,<b>hi<b/>
Kenya,YTD,-6.672560249,Equity,<b>hi<b/>
Kenya,12M,-6.672560249,Equity,<b>hi<b/>
Korea,1M,-2.486187845,Equity,<b>hi<b/>
Korea,YTD,-15.4491018,Equity,<b>hi<b/>
Korea,12M,-15.4491018,Equity,<b>hi<b/>
Kuwait,1M,0.036380723,Equity,<b>hi<b/>
Kuwait,YTD,22.59573255,Equity,<b>hi<b/>
Kuwait,12M,22.59573255,Equity,<b>hi<b/>
Lebanon,1M,2.606635071,Equity,<b>hi<b/>
Lebanon,YTD,-6.277056277,Equity,<b>hi<b/>
Lebanon,12M,-6.277056277,Equity,<b>hi<b/>
Lithuania,1M,-4.525639028,Equity,<b>hi<b/>
Lithuania,YTD,-5.212538464,Equity,<b>hi<b/>
Lithuania,12M,-5.212538464,Equity,<b>hi<b/>
Malaysia,1M,1.21434623,Equity,<b>hi<b/>
Malaysia,YTD,-0.194114323,Equity,<b>hi<b/>
Malaysia,12M,-0.194114323,Equity,<b>hi<b/>
Mauritius,1M,-1.248074949,Equity,<b>hi<b/>
Mauritius,YTD,-13.85188088,Equity,<b>hi<b/>
Mauritius,12M,-13.85188088,Equity,<b>hi<b/>
Mexico,1M,2.142724089,Equity,<b>hi<b/>
Mexico,YTD,-10.02782283,Equity,<b>hi<b/>
Mexico,12M,-10.02782283,Equity,<b>hi<b/>
Morocco,1M,1.190295551,Equity,<b>hi<b/>
Morocco,YTD,-1.195160095,Equity,<b>hi<b/>
Morocco,12M,-1.195160095,Equity,<b>hi<b/>
Netherlands,1M,-6.297494522,Equity,<b>hi<b/>
Netherlands,YTD,-7.732134844,Equity,<b>hi<b/>
Netherlands,12M,-7.732134844,Equity,<b>hi<b/>
New Zealand,1M,-1.492132318,Equity,<b>hi<b/>
New Zealand,YTD,2.508791895,Equity,<b>hi<b/>
New Zealand,12M,2.508791895,Equity,<b>hi<b/>
Nigeria,1M,1.605206074,Equity,<b>hi<b/>
Nigeria,YTD,-8.55134713,Equity,<b>hi<b/>
Nigeria,12M,-8.55134713,Equity,<b>hi<b/>
Norway,1M,-6.670982082,Equity,<b>hi<b/>
Norway,YTD,-1.873123658,Equity,<b>hi<b/>
Norway,12M,-1.873123658,Equity,<b>hi<b/>
Oman,1M,-2.622322814,Equity,<b>hi<b/>
Oman,YTD,5.039355271,Equity,<b>hi<b/>
Oman,12M,5.039355271,Equity,<b>hi<b/>
Pakistan,1M,-12.82330207,Equity,<b>hi<b/>
Pakistan,YTD,-30.14536694,Equity,<b>hi<b/>
Pakistan,12M,-30.14536694,Equity,<b>hi<b/>
Peru,1M,0.11725202,Equity,<b>hi<b/>
Peru,YTD,7.875697327,Equity,<b>hi<b/>
Peru,12M,7.875697327,Equity,<b>hi<b/>
Philippines,1M,1.856490349,Equity,<b>hi<b/>
Philippines,YTD,-10.9172444,Equity,<b>hi<b/>
Philippines,12M,-10.9172444,Equity,<b>hi<b/>
Poland,1M,-0.755761216,Equity,<b>hi<b/>
Poland,YTD,-7.04907519,Equity,<b>hi<b/>
Poland,12M,-7.04907519,Equity,<b>hi<b/>
Portugal,1M,-1.771544827,Equity,<b>hi<b/>
Portugal,YTD,-4.475638754,Equity,<b>hi<b/>
Portugal,12M,-4.475638754,Equity,<b>hi<b/>
Qatar,1M,-0.647765891,Equity,<b>hi<b/>
Qatar,YTD,37.90502383,Equity,<b>hi<b/>
Qatar,12M,37.90502383,Equity,<b>hi<b/>
Romania,1M,-16.55074171,Equity,<b>hi<b/>
Romania,YTD,8.607711558,Equity,<b>hi<b/>
Romania,12M,8.607711558,Equity,<b>hi<b/>
Russia,1M,-4.597274021,Equity,<b>hi<b/>
Russia,YTD,6.436529194,Equity,<b>hi<b/>
Russia,12M,6.436529194,Equity,<b>hi<b/>
Serbia,1M,4.078759528,Equity,<b>hi<b/>
Serbia,YTD,9.8722652,Equity,<b>hi<b/>
Serbia,12M,9.8722652,Equity,<b>hi<b/>
Singapore,1M,-0.712797835,Equity,<b>hi<b/>
Singapore,YTD,-3.737011375,Equity,<b>hi<b/>
Singapore,12M,-3.737011375,Equity,<b>hi<b/>
Slovenia,1M,4.85851575,Equity,<b>hi<b/>
Slovenia,YTD,8.03080308,Equity,<b>hi<b/>
Slovenia,12M,8.03080308,Equity,<b>hi<b/>
South Africa,1M,-4.351759593,Equity,<b>hi<b/>
South Africa,YTD,-19.60808492,Equity,<b>hi<b/>
South Africa,12M,-19.60808492,Equity,<b>hi<b/>
Spain,1M,-4.068264342,Equity,<b>hi<b/>
Spain,YTD,-10.44783236,Equity,<b>hi<b/>
Spain,12M,-10.44783236,Equity,<b>hi<b/>
Sri Lanka,1M,-0.966101695,Equity,<b>hi<b/>
Sri Lanka,YTD,-4.697439243,Equity,<b>hi<b/>
Sri Lanka,12M,-4.697439243,Equity,<b>hi<b/>
Sweden,1M,-3.338425551,Equity,<b>hi<b/>
Sweden,YTD,-7.147475846,Equity,<b>hi<b/>
Sweden,12M,-7.147475846,Equity,<b>hi<b/>
Switzerland,1M,-5.369665274,Equity,<b>hi<b/>
Switzerland,YTD,-2.497612286,Equity,<b>hi<b/>
Switzerland,12M,-2.497612286,Equity,<b>hi<b/>
Taiwan,1M,-1.171710803,Equity,<b>hi<b/>
Taiwan,YTD,-2.453065035,Equity,<b>hi<b/>
Taiwan,12M,-2.453065035,Equity,<b>hi<b/>
Thailand,1M,-1.996842717,Equity,<b>hi<b/>
Thailand,YTD,0.631327494,Equity,<b>hi<b/>
Thailand,12M,0.631327494,Equity,<b>hi<b/>
Tunisia,1M,-1.549691751,Equity,<b>hi<b/>
Tunisia,YTD,20.67764285,Equity,<b>hi<b/>
Tunisia,12M,20.67764285,Equity,<b>hi<b/>
Turkey,1M,-6.062886346,Equity,<b>hi<b/>
Turkey,YTD,-37.39117552,Equity,<b>hi<b/>
Turkey,12M,-37.39117552,Equity,<b>hi<b/>
Ukraine,1M,-3.307364398,Equity,<b>hi<b/>
Ukraine,YTD,8.529945554,Equity,<b>hi<b/>
Ukraine,12M,8.529945554,Equity,<b>hi<b/>
United Arab Emirates,1M,0.53777308,Equity,<b>hi<b/>
United Arab Emirates,YTD,-2.003708634,Equity,<b>hi<b/>
United Arab Emirates,12M,-2.003708634,Equity,<b>hi<b/>
United Kingdom,1M,-4.39276584,Equity,<b>hi<b/>
United Kingdom,YTD,-8.763641964,Equity,<b>hi<b/>
United Kingdom,12M,-8.763641964,Equity,<b>hi<b/>
United States,1M,-7.946521205,Equity,<b>hi<b/>
United States,YTD,1.433297423,Equity,<b>hi<b/>
United States,12M,1.433297423,Equity,<b>hi<b/>
Vietnam,1M,-6.060606061,Equity,<b>hi<b/>
Vietnam,YTD,-8.823529412,Equity,<b>hi<b/>
Vietnam,12M,-8.823529412,Equity,<b>hi<b/>
